booking_id,flight_id,passenger_id,booking_date,seat_no,class,payment_status,amount
1,2010,850,2025-11-15,8A,Business,Paid,14298
2,1806,246,2024-02-10,18B,Business,Failed,15950
3,2216,1735,2025-02-12,15B,Business,Paid,14485
4,890,1998,2025-07-15,7F,Business,Failed,5600
5,931,2131,2024-11-18,35A,Economy,Pending,15355
6,828,317,2024-06-28,38D,First,Failed,15496
7,2185,2418,2024-06-07,3A,Business,Pending,8532
8,2163,1720,2024-02-06,6B,Economy,Failed,14838
9,1276,2228,2025-02-09,15E,Business,Pending,5578
10,1517,1807,2025-06-22,39A,Business,Paid,7561
11,1313,600,2025-01-10,36B,Economy,Pending,4543
12,1073,1107,2024-09-12,35D,Economy,Failed,18888
13,516,1556,2024-10-04,15D,Business,Pending,11494
14,1915,841,2024-09-05,38C,First,Paid,8307
15,688,348,2025-11-23,1B,Economy,Paid,5614
16,1020,1296,2024-01-17,28C,First,Failed,15139
17,1296,331,2025-01-02,18B,Business,Pending,7142
18,1050,610,2024-05-04,14C,Business,Failed,6806
19,1094,1945,2024-11-07,7A,Business,Pending,18890
20,2341,744,2024-07-30,25A,Business,Paid,13833
21,1258,569,2025-04-16,23C,Business,Failed,9611
22,2279,1685,2025-02-18,39C,Business,Paid,13206
23,1610,2437,2025-05-14,3F,First,Pending,3707
24,1145,971,2025-12-12,30E,Economy,Paid,10493
25,518,747,2024-06-29,8D,Business,Pending,10509
26,706,2185,2025-01-23,6E,Economy,Failed,19241
27,2425,1765,2025-10-03,19F,First,Pending,17407
28,1935,1385,2025-09-24,40C,Business,Pending,4720
29,2485,2330,2024-07-05,37B,Business,Failed,5022
30,1746,1226,2025-11-04,5A,Economy,Failed,10868
31,1669,1019,2025-09-15,15C,Economy,Paid,17749
32,970,16,2025-04-12,6B,Economy,Pending,18762
33,1198,568,2025-04-01,7D,Business,Pending,13892
34,1687,2025,2024-05-13,18D,Economy,Paid,14721
35,1533,1614,2025-11-28,24B,Economy,Pending,6851
36,778,2078,2024-06-23,24C,First,Pending,4989
37,1334,1543,2024-09-17,14F,Business,Failed,5830
38,2118,1932,2024-11-12,18F,Business,Failed,7403
39,2253,2070,2024-09-25,5E,Business,Failed,8850
40,2389,1455,2025-04-14,11E,Economy,Paid,3939
41,118,1703,2024-08-11,16B,First,Failed,9715
42,15,1434,2024-09-08,30D,Economy,Paid,10427
43,1346,325,2024-03-04,18F,Business,Failed,11975
44,2042,1322,2025-04-08,36B,Economy,Pending,6195
45,2043,2229,2024-05-03,21A,Business,Pending,4786
46,911,122,2025-08-04,15A,Economy,Failed,16454
47,1556,2172,2024-08-25,21D,Economy,Failed,3377
48,690,1477,2024-03-15,18A,Business,Paid,4755
49,774,266,2025-03-17,14E,Economy,Pending,6409
50,1615,28,2025-05-14,21B,Business,Failed,14287
51,1535,1283,2025-06-05,32D,Economy,Failed,17899
52,120,2125,2024-09-24,30B,Economy,Pending,14838
53,2074,432,2025-05-01,17B,Economy,Failed,8570
54,1737,879,2025-08-22,16F,Business,Pending,6612
55,64,1059,2024-02-19,36E,Economy,Failed,18099
56,460,436,2025-10-16,17F,Economy,Pending,6104
57,1750,1086,2024-02-28,38D,First,Paid,12522
58,2362,2100,2025-03-29,38D,First,Failed,17804
59,1614,2164,2025-12-23,24B,Business,Failed,9657
60,1564,2095,2024-03-12,9E,Business,Failed,7478
61,982,2486,2024-07-08,32A,Business,Paid,7025
62,1150,101,2025-07-15,4A,Business,Failed,9764
63,972,1303,2025-12-17,10F,Economy,Failed,4112
64,707,2155,2025-07-19,11F,Economy,Pending,5500
65,1710,983,2024-06-04,28E,Business,Failed,7987
66,1367,2407,2025-07-16,5D,Business,Failed,9624
67,1847,887,2025-11-03,25E,First,Pending,11201
68,395,800,2025-10-02,30E,Business,Paid,13311
69,484,1026,2024-03-25,17E,First,Paid,16947
